meeting_date,ticker,rate_before,rate_after,rate_change,decision,stock_price_start,stock_price_end,spy_price_start,spy_price_end,stock_return_30d,spy_return_30d,relative_return_30d,outperformed_spy,CPIAUCSL,DPCREDIT,M2SL,T10Y2Y,UNRATE
2000-02-01,AXP,5.45,5.73,0.28,HIKE,34.7135,27.4344,88.7823,87.2666,-20.9691,-1.7072,-19.2619,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,BAC,5.45,5.73,0.28,HIKE,12.4999,11.6217,88.7823,87.2666,-7.0257,-1.7072,-5.3184,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,BK,5.45,5.73,0.28,HIKE,23.8101,19.2957,88.7823,87.2666,-18.96,-1.7072,-17.2528,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,C,5.45,5.73,0.28,HIKE,228.349,202.449,88.7823,87.2666,-11.3423,-1.7072,-9.6351,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,COF,5.45,5.73,0.28,HIKE,28.9818,26.5665,88.7823,87.2666,-8.3339,-1.7072,-6.6266,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,GS,5.45,5.73,0.28,HIKE,63.1551,66.6157,88.7823,87.2666,5.4795,-1.7072,7.1867,1,170.0,2.0,4680.9,0.02,4.1
2000-02-01,JPM,5.45,5.73,0.28,HIKE,26.4783,25.4706,88.7823,87.2666,-3.8058,-1.7072,-2.0985,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,MS,5.45,5.73,0.28,HIKE,31.2584,37.3941,88.7823,87.2666,19.629,-1.7072,21.3362,1,170.0,2.0,4680.9,0.02,4.1
2000-02-01,PNC,5.45,5.73,0.28,HIKE,21.8435,17.5993,88.7823,87.2666,-19.43,-1.7072,-17.7228,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,SCHW,5.45,5.73,0.28,HIKE,17.1554,21.7376,88.7823,87.2666,26.71,-1.7072,28.4172,1,170.0,2.0,4680.9,0.02,4.1
2000-02-01,STT,5.45,5.73,0.28,HIKE,25.1655,22.1204,88.7823,87.2666,-12.1003,-1.7072,-10.3931,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,TFC,5.45,5.73,0.28,HIKE,10.8589,8.7633,88.7823,87.2666,-19.2985,-1.7072,-17.5913,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,USB,5.45,5.73,0.28,HIKE,10.2005,7.8405,88.7823,87.2666,-23.1362,-1.7072,-21.429,0,170.0,2.0,4680.9,0.02,4.1
2000-02-01,WFC,5.45,5.73,0.28,HIKE,9.9725,8.4153,88.7823,87.2666,-15.6151,-1.7072,-13.9079,0,170.0,2.0,4680.9,0.02,4.1
2000-03-01,AXP,5.73,5.85,0.12,HIKE,27.8324,30.5925,87.2075,94.9681,9.9169,8.899,1.0179,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,BAC,5.73,5.85,0.12,HIKE,11.7507,13.5238,87.2075,94.9681,15.0893,8.899,6.1903,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,BK,5.73,5.85,0.12,HIKE,18.8952,24.2106,87.2075,94.9681,28.131,8.899,19.2319,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,C,5.73,5.85,0.12,HIKE,202.94,235.371,87.2075,94.9681,15.9806,8.899,7.0816,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,COF,5.73,5.85,0.12,HIKE,27.198,34.5951,87.2075,94.9681,27.1972,8.899,18.2982,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,GS,5.73,5.85,0.12,HIKE,65.5775,72.8446,87.2075,94.9681,11.0817,8.899,2.1827,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,JPM,5.73,5.85,0.12,HIKE,25.9251,27.5652,87.2075,94.9681,6.3263,8.899,-2.5727,0,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,MS,5.73,5.85,0.12,HIKE,36.753,40.4772,87.2075,94.9681,10.1331,8.899,1.234,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,PNC,5.73,5.85,0.12,HIKE,17.5427,20.4005,87.2075,94.9681,16.2905,8.899,7.3915,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,SCHW,5.73,5.85,0.12,HIKE,22.4,27.4581,87.2075,94.9681,22.5808,8.899,13.6818,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,STT,5.73,5.85,0.12,HIKE,22.1395,29.7345,87.2075,94.9681,34.3052,8.899,25.4062,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,TFC,5.73,5.85,0.12,HIKE,8.8109,10.6922,87.2075,94.9681,21.3517,8.899,12.4527,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,USB,5.73,5.85,0.12,HIKE,7.6832,9.6917,87.2075,94.9681,26.1427,8.899,17.2437,1,171.0,2.0,4711.7,-0.13,4.0
2000-03-01,WFC,5.73,5.85,0.12,HIKE,8.6013,10.1046,87.2075,94.9681,17.4777,8.899,8.5787,1,171.0,2.0,4711.7,-0.13,4.0
2000-04-01,AXP,5.85,6.02,0.17,HIKE,31.9405,31.1468,95.5208,92.8762,-2.4849,-2.7686,0.2837,1,170.9,2.0,4767.8,-0.47,3.8
